t=,1759519, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.023, mSel=,+0.408, b=,0.010, m=,0.152, ca=,0.0479, cr=,0.0473,  actvprof=,1.526975, best_B_id=,B05, best_B_prof=,1.526975, best_B_strat=, mBuy=,-0.023, mSel=,+0.408, b=,0.010, m=,0.152, ca=,0.0479, cr=,0.0473, 
t=,1789855, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.397, b=,0.027, m=,0.126, ca=,0.0441, cr=,0.0485,  actvprof=,1.453018, best_B_id=,B05, best_B_prof=,1.453018, best_B_strat=, mBuy=,-0.012, mSel=,+0.397, b=,0.027, m=,0.126, ca=,0.0441, cr=,0.0485, 
t=,1820191, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.392, b=,0.033, m=,0.156, ca=,0.0452, cr=,0.0485,  actvprof=,1.492459, best_B_id=,B05, best_B_prof=,1.492459, best_B_strat=, mBuy=,-0.009, mSel=,+0.392, b=,0.033, m=,0.156, ca=,0.0452, cr=,0.0485, 
t=,1850528, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.005, mSel=,+0.392, b=,0.000, m=,0.173, ca=,0.0432, cr=,0.0443,  actvprof=,1.742664, best_B_id=,B05, best_B_prof=,1.742664, best_B_strat=, mBuy=,-0.005, mSel=,+0.392, b=,0.000, m=,0.173, ca=,0.0432, cr=,0.0443, 
t=,1880864, id=,B05, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.377, b=,0.003, m=,0.151, ca=,0.0447, cr=,0.0453,  actvprof=,1.583382, best_B_id=,B05, best_B_prof=,1.583382, best_B_strat=, mBuy=,+0.000, mSel=,+0.377, b=,0.003, m=,0.151, ca=,0.0447, cr=,0.0453, 
t=,1911200, id=,B05, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.377, b=,0.003, m=,0.151, ca=,0.0447, cr=,0.0453,  actvprof=,1.617987, best_B_id=,B05, best_B_prof=,1.617987, best_B_strat=, mBuy=,+0.000, mSel=,+0.377, b=,0.003, m=,0.151, ca=,0.0447, cr=,0.0453, 
t=,1941537, id=,B05, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.377, b=,0.003, m=,0.151, ca=,0.0447, cr=,0.0453,  actvprof=,1.611795, best_B_id=,B05, best_B_prof=,1.611795, best_B_strat=, mBuy=,+0.000, mSel=,+0.377, b=,0.003, m=,0.151, ca=,0.0447, cr=,0.0453, 
t=,1971873, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.018, mSel=,+0.361, b=,0.010, m=,0.172, ca=,0.0440, cr=,0.0443,  actvprof=,1.678455, best_B_id=,B05, best_B_prof=,1.678455, best_B_strat=, mBuy=,-0.018, mSel=,+0.361, b=,0.010, m=,0.172, ca=,0.0440, cr=,0.0443, 
t=,2002209, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.029, mSel=,+0.363, b=,0.021, m=,0.159, ca=,0.0422, cr=,0.0453,  actvprof=,1.540162, best_B_id=,B05, best_B_prof=,1.540162, best_B_strat=, mBuy=,-0.029, mSel=,+0.363, b=,0.021, m=,0.159, ca=,0.0422, cr=,0.0453, 
t=,2032546, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.029, mSel=,+0.363, b=,0.021, m=,0.159, ca=,0.0422, cr=,0.0453,  actvprof=,1.538354, best_B_id=,B05, best_B_prof=,1.538354, best_B_strat=, mBuy=,-0.029, mSel=,+0.363, b=,0.021, m=,0.159, ca=,0.0422, cr=,0.0453, 
