t=,1537248, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.068, mSel=,+0.144, b=,0.191, m=,0.218, ca=,0.0413, cr=,0.0403,  actvprof=,0.014460, best_B_id=,B01, best_B_prof=,0.014460, best_B_strat=, mBuy=,-0.068, mSel=,+0.144, b=,0.191, m=,0.218, ca=,0.0413, cr=,0.0403, 
t=,1568620, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.068, mSel=,+0.144, b=,0.191, m=,0.218, ca=,0.0413, cr=,0.0403,  actvprof=,0.014540, best_B_id=,B01, best_B_prof=,0.014540, best_B_strat=, mBuy=,-0.068, mSel=,+0.144, b=,0.191, m=,0.218, ca=,0.0413, cr=,0.0403, 
t=,1599993, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.026, mSel=,+0.125, b=,0.190, m=,0.254, ca=,0.0403, cr=,0.0434,  actvprof=,0.018058, best_B_id=,B01, best_B_prof=,0.018058, best_B_strat=, mBuy=,-0.026, mSel=,+0.125, b=,0.190, m=,0.254, ca=,0.0403, cr=,0.0434, 
t=,1631365, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.047, mSel=,+0.112, b=,0.213, m=,0.280, ca=,0.0411, cr=,0.0451,  actvprof=,0.019815, best_B_id=,B01, best_B_prof=,0.019815, best_B_strat=, mBuy=,-0.047, mSel=,+0.112, b=,0.213, m=,0.280, ca=,0.0411, cr=,0.0451, 
t=,1662738, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.023, mSel=,+0.139, b=,0.251, m=,0.269, ca=,0.0372, cr=,0.0432,  actvprof=,0.019094, best_B_id=,B01, best_B_prof=,0.019094, best_B_strat=, mBuy=,-0.023, mSel=,+0.139, b=,0.251, m=,0.269, ca=,0.0372, cr=,0.0432, 
t=,1694110, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.160, b=,0.288, m=,0.244, ca=,0.0356, cr=,0.0404,  actvprof=,0.018042, best_B_id=,B01, best_B_prof=,0.018042, best_B_strat=, mBuy=,-0.009, mSel=,+0.160, b=,0.288, m=,0.244, ca=,0.0356, cr=,0.0404, 
t=,1725483, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.013, mSel=,+0.150, b=,0.289, m=,0.229, ca=,0.0403, cr=,0.0407,  actvprof=,0.016902, best_B_id=,B01, best_B_prof=,0.016902, best_B_strat=, mBuy=,-0.013, mSel=,+0.150, b=,0.289, m=,0.229, ca=,0.0403, cr=,0.0407, 
t=,1756856, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.159, b=,0.271, m=,0.246, ca=,0.0408, cr=,0.0407,  actvprof=,0.017233, best_B_id=,B01, best_B_prof=,0.017233, best_B_strat=, mBuy=,-0.021, mSel=,+0.159, b=,0.271, m=,0.246, ca=,0.0408, cr=,0.0407, 
t=,1788228, id=,B01, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.145, b=,0.240, m=,0.230, ca=,0.0389, cr=,0.0425,  actvprof=,0.015815, best_B_id=,B01, best_B_prof=,0.015815, best_B_strat=, mBuy=,+0.000, mSel=,+0.145, b=,0.240, m=,0.230, ca=,0.0389, cr=,0.0425, 
t=,1819601, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.013, mSel=,+0.123, b=,0.220, m=,0.259, ca=,0.0381, cr=,0.0404,  actvprof=,0.017300, best_B_id=,B01, best_B_prof=,0.017300, best_B_strat=, mBuy=,-0.013, mSel=,+0.123, b=,0.220, m=,0.259, ca=,0.0381, cr=,0.0404, 
t=,1850973, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.058, mSel=,+0.158, b=,0.199, m=,0.259, ca=,0.0321, cr=,0.0403,  actvprof=,0.016218, best_B_id=,B01, best_B_prof=,0.016218, best_B_strat=, mBuy=,-0.058, mSel=,+0.158, b=,0.199, m=,0.259, ca=,0.0321, cr=,0.0403, 
t=,1882346, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.058, mSel=,+0.158, b=,0.199, m=,0.259, ca=,0.0321, cr=,0.0403,  actvprof=,0.018695, best_B_id=,B01, best_B_prof=,0.018695, best_B_strat=, mBuy=,-0.058, mSel=,+0.158, b=,0.199, m=,0.259, ca=,0.0321, cr=,0.0403, 
t=,1913718, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.093, mSel=,+0.147, b=,0.182, m=,0.261, ca=,0.0324, cr=,0.0405,  actvprof=,0.017880, best_B_id=,B01, best_B_prof=,0.017880, best_B_strat=, mBuy=,-0.093, mSel=,+0.147, b=,0.182, m=,0.261, ca=,0.0324, cr=,0.0405, 
t=,1945091, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.127, mSel=,+0.109, b=,0.163, m=,0.280, ca=,0.0354, cr=,0.0426,  actvprof=,0.015040, best_B_id=,B01, best_B_prof=,0.015040, best_B_strat=, mBuy=,-0.127, mSel=,+0.109, b=,0.163, m=,0.280, ca=,0.0354, cr=,0.0426, 
