0.000, Bid:,0,Ask:,0,
66.675, Bid:,9,33,1,102,1,246,1,250,1,279,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,344,1,352,1,363,1,425,1,462,1,482,1,
66.775, Bid:,9,33,1,102,1,246,1,250,1,279,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,327,1,333,1,352,1,363,1,425,1,462,1,482,1,
66.800, Bid:,9,33,1,102,1,246,1,250,1,279,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,323,1,333,1,352,1,363,1,425,1,462,1,482,1,
66.825, Bid:,9,102,1,241,1,246,1,250,1,279,1,287,1,300,1,305,1,306,1,Ask:,9,310,1,311,1,323,1,333,1,352,1,363,1,425,1,462,1,482,1,
66.850, Bid:,9,102,1,241,1,246,1,250,1,279,1,287,1,300,1,305,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,352,1,363,1,425,1,462,1,482,1,
66.900, Bid:,9,102,1,241,1,246,1,250,1,279,1,287,1,300,1,305,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,462,1,482,1,
67.100, Bid:,9,102,1,241,1,246,1,250,1,281,1,287,1,300,1,305,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,462,1,482,1,
67.125, Bid:,9,102,1,241,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,462,1,482,1,
67.325, Bid:,9,102,1,241,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,328,1,333,1,349,1,352,1,363,1,482,1,
67.475, Bid:,9,102,1,241,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,398,1,482,1,
67.550, Bid:,9,102,1,241,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,398,1,408,1,
67.575, Bid:,9,69,1,102,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,398,1,408,1,
67.625, Bid:,9,102,1,150,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,363,1,398,1,408,1,
67.700, Bid:,9,102,1,150,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,398,1,408,1,437,1,
67.750, Bid:,9,102,1,150,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,398,1,408,1,443,1,
67.800, Bid:,9,102,1,150,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,349,1,352,1,398,1,443,1,493,1,
67.850, Bid:,9,102,1,150,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,8,310,1,311,1,323,1,333,1,352,2,398,1,443,1,493,1,
67.975, Bid:,9,79,1,102,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,8,310,1,311,1,323,1,333,1,352,2,398,1,443,1,493,1,
68.175, Bid:,9,79,1,102,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,352,1,358,1,398,1,443,1,493,1,
68.250, Bid:,9,79,1,102,1,246,1,250,1,281,1,287,1,300,1,304,1,307,1,Ask:,9,310,1,311,1,323,1,333,1,358,1,375,1,398,1,443,1,493,1,
68.300, Bid:,9,79,1,102,1,246,1,250,1,281,1,287,1,300,1,304,1,308,1,Ask:,9,310,1,311,1,323,1,333,1,358,1,375,1,398,1,443,1,493,1,
