0.000, Bid:,0,Ask:,0,
63.200, Bid:,13,27,1,47,1,55,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,317,1,318,1,Ask:,11,322,1,325,1,329,1,330,1,356,1,371,1,388,1,392,1,433,1,445,1,468,1,
63.225, Bid:,13,27,1,47,1,55,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,318,1,319,1,Ask:,11,322,1,325,1,329,1,330,1,356,1,371,1,388,1,392,1,433,1,445,1,468,1,
63.325, Bid:,13,27,1,47,1,55,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,318,1,319,1,Ask:,11,322,1,325,1,329,1,356,1,370,1,371,1,388,1,392,1,433,1,445,1,468,1,
63.375, Bid:,13,27,1,46,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,318,1,319,1,Ask:,11,322,1,325,1,329,1,356,1,370,1,371,1,388,1,392,1,433,1,445,1,468,1,
63.400, Bid:,13,27,1,46,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,319,1,320,1,Ask:,11,322,1,325,1,329,1,356,1,370,1,371,1,388,1,392,1,433,1,445,1,468,1,
63.425, Bid:,12,27,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,319,1,320,1,Ask:,10,325,1,329,1,356,1,370,1,371,1,388,1,392,1,433,1,445,1,468,1,
63.450, Bid:,12,27,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,319,1,320,1,Ask:,10,325,1,329,1,356,1,370,1,371,1,392,1,433,1,445,1,468,1,470,1,
63.500, Bid:,12,27,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,319,1,321,1,Ask:,10,325,1,329,1,356,1,370,1,371,1,392,1,433,1,445,1,468,1,470,1,
63.550, Bid:,12,27,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,321,1,322,1,Ask:,10,325,1,329,1,356,1,370,1,371,1,392,1,433,1,445,1,468,1,470,1,
63.575, Bid:,12,27,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,321,1,322,1,Ask:,10,325,1,329,1,349,1,356,1,370,1,371,1,392,1,433,1,468,1,470,1,
63.625, Bid:,12,27,1,47,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,321,1,322,1,Ask:,10,325,1,329,1,349,1,356,1,370,1,371,1,392,1,425,1,433,1,470,1,
63.725, Bid:,12,27,1,50,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,321,1,322,1,Ask:,10,325,1,329,1,349,1,356,1,370,1,371,1,392,1,425,1,433,1,470,1,
63.875, Bid:,12,27,1,50,1,109,1,127,1,200,1,262,1,275,1,285,1,287,1,313,1,321,1,322,1,Ask:,11,324,1,325,1,329,1,349,1,356,1,370,1,371,1,392,1,425,1,433,1,470,1,
63.925, Bid:,12,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,321,1,322,1,Ask:,11,324,1,325,1,329,1,349,1,356,1,370,1,371,1,392,1,425,1,433,1,470,1,
63.975, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,321,1,Ask:,10,324,1,325,1,329,1,349,1,356,1,370,1,392,1,425,1,433,1,470,1,
64.175, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,321,1,Ask:,10,324,1,325,1,329,1,349,1,356,1,370,1,392,1,425,1,433,1,471,1,
64.225, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,10,324,1,325,1,329,1,349,1,356,1,370,1,392,1,425,1,433,1,471,1,
64.300, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,10,324,1,325,1,329,1,349,1,356,1,370,1,425,1,433,1,470,1,471,1,
64.375, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,10,324,1,325,1,329,1,349,1,370,1,425,1,433,1,465,1,470,1,471,1,
64.500, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,10,324,1,325,1,329,1,349,1,370,1,409,1,433,1,465,1,470,1,471,1,
64.525, Bid:,11,27,1,50,1,109,1,127,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,11,323,1,324,1,325,1,329,1,349,1,370,1,409,1,433,1,465,1,470,1,471,1,
64.600, Bid:,11,27,1,50,1,109,1,118,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,11,323,1,324,1,325,1,329,1,349,1,370,1,409,1,433,1,465,1,470,1,471,1,
64.625, Bid:,11,27,1,50,1,109,1,118,1,154,1,262,1,275,1,285,1,287,1,313,1,322,1,Ask:,11,323,1,324,1,325,1,329,1,341,1,349,1,370,1,409,1,433,1,465,1,470,1,
64.725, Bid:,10,27,1,50,1,109,1,118,1,154,1,262,1,275,1,285,1,287,1,313,1,Ask:,10,324,1,325,1,329,1,341,1,349,1,370,1,409,1,433,1,465,1,470,1,
64.775, Bid:,10,27,1,50,1,109,1,118,1,154,1,262,1,275,1,285,1,287,1,313,1,Ask:,10,324,1,325,1,328,1,329,1,341,1,349,1,409,1,433,1,465,1,470,1,
64.825, Bid:,10,27,1,50,1,109,1,118,1,154,1,262,1,275,1,285,1,287,1,313,1,Ask:,10,324,1,325,1,329,1,341,1,349,1,376,1,409,1,433,1,465,1,470,1,
64.975, Bid:,10,27,1,50,1,109,1,118,1,154,1,262,1,275,1,285,1,287,1,313,1,Ask:,10,324,1,325,1,341,1,349,1,353,1,376,1,409,1,433,1,465,1,470,1,
65.025, Bid:,10,27,1,109,1,118,1,142,1,154,1,262,1,275,1,285,1,287,1,313,1,Ask:,10,324,1,325,1,341,1,349,1,353,1,376,1,409,1,433,1,465,1,470,1,
65.050, Bid:,10,27,1,109,1,118,1,142,1,154,1,262,1,275,1,285,1,287,1,313,1,Ask:,10,323,1,325,1,341,1,349,1,353,1,376,1,409,1,433,1,465,1,470,1,
